time,rpm,load,temp,short_term_fuel_trim_1,long_term_fuel_trim_1,short_term_fuel_trim_2,long_term_fuel_trim_2,speed,timing_advance,intake_air_temp,maf
1441802535,1727.5,36.07843137,100,-0.78125,-0.78125,-1.5625,-0.78125,89,31,15,9.63
1441802537,1668.75,29.41176471,102,-3.125,0,-1.5625,0,82,28,15,6.42
1441802538,1485.25,24.31372549,102,-3.90625,0,-4.6875,0,76,29,16,5.98
1441802540,1346.5,26.2745098,102,-10.9375,BADDATA,-10.9375,-0.78125,72,28,16,6.36
1441802542,1185.25,30.19607843,102,0,-0.78125,0,-0.78125,69,25,16,6.03
1441802544,1111.5,30.98039216,102,0,-0.78125,0,BADDATA,66,24,16,5.98
1441802545,1065,33.33333333,103,0,-0.78125,0,-1.5625,64,25.5,16,23.14
1441802547,1519.75,73.7254902,103,-1.5625,0,0,0,67,18,16,25.8
1441802549,1630.75,55.29411765,103,-0.78125,0.78125,BADDATA,0,70,BADDATA,15,22.09
1441802551,BADDATA,50.19607843,103,-1.5625,-1.5625,2.34375,-1.5625,72,30,15,11.12
1441802553,1393.5,43.52941176,103,-1.5625,-1.5625,-2.34375,-1.5625,73,30,15,8.91
1441802554,1398,36.07843137,103,0,-1.5625,0.78125,0,73,20.5,15,28.84
1441802556,1501.5,67.84313725,103,-0.78125,0,3.90625,0,76,15.5,15,24.64
1441802558,1466.5,59.21568627,103,-0.78125,0,-1.5625,0,BADDATA,22,15,30.45
1441802560,BADDATA,69.41176471,102,3.90625,0,-0.78125,0,78,16.5,15,29.73
1441802561,1509,70.19607843,102,3.125,0,0,0.78125,80,20.5,15,18.16
1441802563,1540.75,43.52941176,100,-3.90625,-1.5625,0,-1.5625,79,30,15,11.01
1441802565,1520.5,39.21568627,100,-2.34375,-1.5625,0.78125,-1.5625,79,33,15,15.22
1441802567,1519.75,51.76470588,99,0,-0.78125,1.5625,-0.78125,79,30,15,19.82
1441802568,1535,51.76470588,99,1.5625,-0.78125,3.125,0,80,28,15,21.04
1441802570,1541.25,52.15686275,98,1.5625,0,3.125,0,82,12,15,36.21
1441802572,1606.5,83.52941176,98,5.46875,-1.5625,0.78125,-1.5625,85,BADDATA,15,43.46
1441802574,1661.5,92.54901961,98,1.5625,-1.5625,4.6875,-1.5625,89,4.5,15,BADDATA
1441802576,2044.75,79.21568627,97,-0.78125,BADDATA,-0.78125,BADDATA,93,10.5,BADDATA,45.84
1441802578,1970.75,78.03921569,97,3.90625,-0.78125,-0.78125,-0.78125,96,12,15,40.53
1441802579,1864.25,76.07843137,97,-1.5625,-0.78125,3.125,-0.78125,99,15,15,40.31
1441802581,1917.75,76.07843137,97,2.34375,-0.78125,1.5625,-0.78125,102,15,15,39.2
1441802583,1969.25,66.66666667,97,-1.5625,0,2.34375,0,104,18.5,15,BADDATA
